,X,Y,Z,gx,gy,gz,feature_name,val
35,4691.230469,7601.061035,3827.233154,-0.209773,0.687909,0.694821,s1,
36,6129.179199,6958.416504,4059.388184,0.381329,0.664459,0.642715,s1,
37,4314.089355,7489.594238,3776.57959,-0.329914,0.684349,0.650249,s1,
38,4987.900879,7507.699219,4001.363037,0.080154,0.720679,0.68862,s1,
39,5933.955078,7030.11084,4093.896484,0.395108,0.653739,0.64538,s1,
40,5650.458984,7160.73877,4138.199707,0.37039,0.698023,0.612842,s1,
41,4228.069336,7340.476074,3859.308105,-0.38856,0.653815,0.649267,s1,
42,5324.339355,7325.978027,4095.224121,0.191189,0.654038,0.731902,s1,
43,8192.760742,5877.359375,4350.828613,-0.39605,0.648368,0.650202,s1,
44,8408.932617,5952.972656,4396.70459,-0.269766,0.711133,0.649242,s1,
45,7891.730469,5797.015625,4265.481445,-0.386136,0.647771,0.656728,s1,
46,7289.492188,5886.661621,3905.458984,-0.216029,0.694914,0.685876,s1,
47,7511.041504,5764.715332,4084.202393,-0.216026,0.694918,0.685873,s1,
48,7110.464844,5915.281738,3830.131836,-0.028968,0.677946,0.734541,s1,
49,7710.951172,5764.033203,4186.418457,-0.386135,0.647772,0.656728,s1,
50,8751.765625,6043.703125,4448.17041,-0.254501,0.740597,0.621889,s1,
51,7012.740723,5877.980957,3838.769043,0.0,0.701777,0.712397,s1,
52,8917.792969,6040.024902,4476.911133,0.224536,0.655441,0.721097,s1,
53,6775.606934,5869.785156,3907.217041,0.198826,0.641144,0.741217,s1,
54,4381.253906,6395.566895,3989.859131,-0.342008,0.664439,0.664493,s1,
55,5103.746582,6705.044434,3777.372559,0.125274,0.57823,0.806199,s1,
56,4580.906738,6500.463379,3929.050781,-0.245391,0.695293,0.675538,s1,
57,4781.864746,6674.970215,3842.260254,0.017702,0.664107,0.747428,s1,
58,5354.658203,6622.359863,3814.892822,0.125274,0.578225,0.806202,s1,
59,5595.521973,6572.089355,3778.007568,0.050248,0.803485,0.5932,s1,
60,4216.431152,6261.949219,4015.319824,-0.397064,0.646363,0.651579,s1,
61,5750.165527,6410.730469,3851.6875,0.36676,0.642277,0.673028,s1,
62,7756.052734,5052.737305,3995.219727,-0.377153,0.662686,0.646995,s1,
63,8550.444336,5264.115234,4193.849609,-0.265491,0.629312,0.730398,s1,
64,7399.317871,5042.470703,3828.21875,-0.131798,0.585749,0.799704,s1,
65,8225.186523,5194.84082,4147.58252,-0.313703,0.63659,0.704516,s1,
66,9088.108398,5309.286621,4325.186035,0.085211,0.704865,0.704205,s1,
67,6978.025879,5014.847656,3885.211426,-0.092597,0.623258,0.776515,s1,
68,4875.105469,5652.085938,3661.939209,-0.106888,0.620644,0.776773,s1,
69,7497.256348,2278.713135,4266.964355,-0.169299,0.747741,0.642045,s1,
70,7053.27002,2204.488037,4259.477539,-0.169299,0.747743,0.642042,s1,
71,7164.26709,2223.044189,4260.19043,-0.169299,0.747743,0.642042,s1,
72,6827.721191,2178.767578,4256.982422,0.223277,0.670317,0.707688,s1,
73,6674.572266,2211.646484,4252.422363,0.223277,0.670317,0.707688,s1,
74,6354.273438,1740.605469,4251.533203,0.344998,0.691604,0.634556,s1,
75,6519.572754,1627.216431,4272.450684,0.344997,0.691605,0.634554,s1,
76,7245.841309,1523.812866,4304.941406,-0.042558,0.633008,0.772974,s1,
77,6638.419434,1552.93396,4282.617188,0.34058,0.642974,0.685996,s1,
78,7496.476074,1582.927612,4312.900391,-0.320332,0.681916,0.657555,s1,
79,6795.693359,1515.524414,4289.676758,0.008082,0.670905,0.741499,s1,
80,7084.677246,1530.314453,4298.628906,0.008082,0.670905,0.741499,s1,
81,7367.606934,1554.823853,4308.790039,-0.344337,0.644329,0.682842,s1,
82,6909.200684,1514.232544,4293.893066,0.008076,0.670906,0.741498,s1,
83,7957.604004,1836.715332,4326.04541,-0.376444,0.657129,0.653048,s1,
84,3228.516357,3822.811279,3435.260986,-0.063604,0.699823,0.711479,s1,
85,2708.726563,3649.499268,3574.881348,0.307884,0.669998,0.675507,s1,
86,2825.633057,3703.024658,3539.217773,-0.006556,0.568228,0.822845,s1,
87,2960.474365,3728.014893,3492.960449,-0.006556,0.568228,0.822845,s1,
88,2765.84668,3663.884033,3559.75415,-0.048184,0.712926,0.699582,s1,
89,3018.998047,3762.053467,3469.934814,-0.095622,0.71278,0.694839,s1,
90,3122.883545,3790.993408,3433.586914,-0.063604,0.699823,0.711479,s1,
91,2406.449463,3009.692627,3577.027832,0.324803,0.65123,0.685859,s1,
92,3040.73999,3109.857178,3350.46582,0.06847,0.704342,0.70655,s1,
93,2391.452393,2969.916016,3569.719727,0.336214,0.659167,0.67265,s1,
94,2255.179443,3037.394531,3622.856445,0.346091,0.665645,0.661163,s1,
95,2891.789063,3070.572998,3364.08667,0.06847,0.704342,0.70655,s1,
96,2728.980469,3002.033447,3404.610352,0.051908,0.712981,0.699259,s1,
97,2536.453857,2977.585693,3509.736328,0.334386,0.655734,0.676904,s1,
98,2084.552979,2559.013916,3562.509766,0.346041,0.665668,0.661167,s1,
99,2575.643799,2575.219971,3312.878174,0.060054,0.71043,0.701201,s1,
100,2325.210693,2540.727295,3453.322754,0.372259,0.666912,0.645485,s1,
101,2852.368164,2550.683838,3306.851318,0.060054,0.710429,0.701202,s1,
102,2006.726685,2587.699951,3588.91333,0.376925,0.660295,0.649567,s1,
103,2228.606934,2543.868896,3517.436035,0.367991,0.673677,0.640892,s1,
0,4009.370117,7648.972168,3842.925049,-0.568667,0.583156,0.580127,s0,
1,4218.930176,7929.440918,3783.44873,-0.546277,0.59262,0.591931,s0,
2,4482.91748,8049.223145,3885.868652,-0.476946,0.621541,0.621458,s0,
3,4555.029297,7777.873535,3875.355469,-0.421183,0.641272,0.641386,s0,
4,4568.416016,7662.421875,3861.953369,-0.451884,0.63593,0.625615,s0,
5,4466.666504,7532.352051,3772.635254,-0.477638,0.621548,0.620919,s0,
6,4369.646973,6892.992188,3941.921143,-0.549863,0.591401,0.589827,s0,
7,4165.804688,7493.221191,3836.187988,-0.555789,0.589755,0.585908,s0,
8,4208.575195,7346.544434,3866.482666,-0.551731,0.591313,0.588169,s0,
9,4304.562012,7291.652344,3832.318359,-0.54776,0.591878,0.591304,s0,
10,4933.333496,7794.199707,4074.931396,-0.288181,0.677194,0.677023,s0,
11,5366.666504,7752.48877,4236.485352,0.008536,0.70971,0.704442,s0,
12,5580.591797,7660.100098,4274.107422,0.117352,0.701625,0.702816,s0,
13,5271.026855,7627.935059,4167.316895,-0.00829,0.70502,0.709139,s0,
14,4889.458496,7695.421387,3989.832764,-0.277032,0.678252,0.680608,s0,
15,4766.666504,7626.451172,3881.420654,-0.374359,0.651457,0.659894,s0,
16,5131.560059,7542.693848,4079.854492,-0.165985,0.696671,0.697925,s0,
17,5558.944824,7428.597168,4206.919434,0.15985,0.696944,0.699083,s0,
18,5484.875,7189.482422,4102.868164,0.096932,0.703771,0.703783,s0,
19,5082.417969,7336.589355,3938.072021,-0.188768,0.694541,0.694248,s0,
20,4741.85791,7320.865723,3794.413818,-0.389295,0.66264,0.639811,s0,
21,4155.880859,6211.439941,4021.229492,-0.597226,0.568197,0.566103,s0,
22,4453.20752,6563.895996,3973.348633,-0.53082,0.598931,0.599593,s0,
23,4829.61377,7028.814453,3769.177734,-0.391826,0.656069,0.645016,s0,
24,5169.915527,7074.88916,3914.19165,-0.154391,0.71185,0.685152,s0,
25,5629.67627,6939.234375,4031.990967,0.123412,0.699735,0.703662,s0,
26,4334.217773,6152.475098,3975.194824,-0.668995,0.525793,0.525344,s0,
27,4627.0,6549.01709,3916.161621,-0.481792,0.622573,0.616668,s0,
28,5170.319336,6892.950684,3836.450684,-0.179501,0.714548,0.676166,s0,
29,5666.666504,6805.611816,3951.428223,0.123837,0.699472,0.703849,s0,
30,4847.910156,6105.776855,3703.392334,-0.874025,0.343567,0.343573,s0,
31,5083.197754,6410.333496,3729.243896,-0.412542,0.648072,0.640165,s0,
32,5469.161621,6543.758301,3771.202881,-0.127653,0.683009,0.719168,s0,
33,5835.682129,6456.692871,3835.11377,0.117087,0.703436,0.701049,s0,
34,6154.575684,6342.816895,3890.825684,0.134377,0.700838,0.700549,s0,
35,6719.379395,6353.53125,3832.924805,-0.064413,0.707124,0.70415,s0,
36,7333.333496,6463.019531,3965.176758,-0.425788,0.640023,0.63959,s0,
37,7338.318359,6837.125,3929.377441,-0.411302,0.64827,0.640763,s0,
38,6651.006348,6675.917969,3872.208496,-0.023494,0.712361,0.70142,s0,
39,5842.095215,6777.003906,3936.412109,0.178295,0.694813,0.69674,s0,
40,5387.776855,6981.106934,3971.727295,0.005489,0.710293,0.703884,s0,
41,6108.849121,6845.797363,3991.269043,0.204016,0.69176,0.692709,s0,
42,7341.734375,7176.017578,4121.938965,-0.410172,0.646421,0.64335,s0,
43,6678.996582,6964.544434,4075.84082,0.006919,0.708279,0.705898,s0,
44,5766.666504,7153.339844,4145.367676,0.175414,0.696814,0.695471,s0,
45,5240.940918,7509.343262,4119.555176,-0.02633,0.721204,0.692222,s0,
46,5354.41748,7590.835449,4186.582031,0.011965,0.711582,0.702501,s0,
47,6340.872559,7322.916504,4241.699707,0.156691,0.697761,0.698983,s0,
48,6373.439453,7184.816406,4193.568848,0.14377,0.700588,0.698932,s0,
49,7201.859863,7272.037598,4206.691406,-0.344239,0.67125,0.656447,s0,
50,7133.333496,7385.302734,4257.14209,-0.298244,0.675882,0.673969,s0,
51,7613.658203,7834.421387,4143.102539,-0.540313,0.594642,0.595368,s0,
52,7679.076172,7819.037109,4092.387939,-0.541279,0.594511,0.594621,s0,
53,8024.774902,8128.404297,4077.896484,-0.583905,0.577273,0.570799,s0,
54,8141.630371,7783.667969,4165.033203,-0.567008,0.578609,0.586271,s0,
55,7717.412109,7507.744629,4036.983887,-0.532065,0.598917,0.598503,s0,
56,7804.150879,7332.231934,3976.100586,-0.54076,0.597128,0.592467,s0,
57,8133.333496,7441.529785,4199.084961,-0.556094,0.587788,0.587592,s0,
58,8189.136719,7257.324219,4246.875977,-0.546227,0.588379,0.596193,s0,
59,7529.524902,6976.98291,3967.356445,-0.487609,0.617649,0.617047,s0,
60,7041.063965,6741.75,3897.362061,-0.264285,0.687459,0.676427,s0,
61,8087.59375,6839.742188,4256.692871,-0.556886,0.587267,0.587363,s0,
62,8372.725586,6661.807129,4361.192871,-0.53516,0.591715,0.602891,s0,
63,4848.871582,5746.206543,3662.156006,-0.804792,-0.419653,-0.419762,s0,
64,4982.907715,5522.692871,3666.685791,-0.619292,-0.555684,-0.554701,s0,
65,6833.333496,2338.594727,4247.726563,-0.321716,-0.679558,-0.659318,s0,
66,7115.095215,2228.187988,4258.949707,-0.164592,-0.69549,-0.69943,s0,
67,7417.747559,2182.516846,4271.478516,0.052986,-0.707436,-0.704788,s0,
68,7839.103027,1866.064819,4315.638184,0.177564,-0.693867,-0.697868,s0,
69,7331.529297,1840.745728,4290.415039,-0.043938,-0.707338,-0.705509,s0,
70,6792.574707,1835.49646,4274.036621,-0.364239,-0.668887,-0.648013,s0,
71,6558.556152,1818.588501,4268.064941,-0.482553,-0.61979,-0.618873,s0,
72,7076.938965,1525.454468,4298.616211,-0.2157,-0.690448,-0.690475,s0,
73,6333.333496,1655.266235,4252.485352,-0.582786,-0.576819,-0.572399,s0,
74,6433.333496,1944.069458,4251.100586,-0.507668,-0.614531,-0.603842,s0,
75,6582.520996,2156.051025,4253.62793,-0.447471,-0.640783,-0.623833,s0,
76,6842.494629,1604.805542,4287.23291,-0.322784,-0.671236,-0.667272,s0,
77,6942.468262,1946.295288,4271.891602,-0.290952,-0.679271,-0.673749,s0,
78,2077.090576,2585.751709,3570.624268,-0.589764,-0.566201,-0.575842,s0,
79,2273.041748,2485.767334,3463.506104,-0.582227,-0.576076,-0.573715,s0,
80,2579.394531,2387.856445,3276.770508,-0.493023,-0.622792,-0.607502,s0,
81,2604.206299,3397.790283,3619.575439,-0.428365,-0.605297,-0.670909,s0,
82,2847.18457,3370.218018,3529.411621,-0.294692,-0.683219,-0.668108,s0,
83,3149.769775,3362.736328,3441.502197,-0.132866,-0.701726,-0.699948,s0,
84,2675.324463,3772.417969,3547.549072,-0.410514,-0.645256,-0.6443,s0,
85,2923.749756,3678.994141,3511.404297,-0.30169,-0.674455,-0.673864,s0,
86,3216.66626,3657.719971,3442.514404,-0.085884,-0.716171,-0.69262,s0,
87,2924.755859,3871.704834,3483.802734,-0.303105,-0.674477,-0.673208,s0,
88,2570.097656,4184.378418,3399.674316,-0.466875,-0.622452,-0.628157,s0,
0,4823.496582,5576.529297,3652.300781,0.999869,0.008587,0.013755,s2,
1,4509.626953,7308.625,3793.699219,0.999753,-0.022182,0.001305,s2,
2,6904.334473,6378.640625,3828.726563,0.999275,-0.036587,-0.01055,s2,
3,8717.802734,5402.157227,4271.78125,0.998713,0.032723,-0.038755,s2,
4,6485.54248,1681.78894,4266.632813,0.999788,0.019579,0.006339,s2,
5,7817.476074,2067.795166,4299.859375,0.999597,-0.027851,0.005413,s2,
6,2996.549805,3739.016357,3479.988281,0.999855,0.005633,0.016068,s2,
7,2894.746094,3217.271973,3423.878906,0.999659,0.025509,0.005496,s2,
8,2114.25,2670.076172,3580.832031,0.998758,0.045024,-0.021359,s2,
0,5000.0,100.0,100.0,,,,s1,0.0
0,4723.504395,4748.135254,3588.621094,,,,s2,0.0
